card,n,precision,reps,seconds_per_call,achieved_tflops
rtx4090,1024,FP32,30,4.802560011545817e-05,44.71539434878986
rtx4090,1024,TF32,30,3.2968533039093015e-05,65.13737342979695
rtx4090,1024,FP16,30,2.181119918823242e-05,98.45784403998339
rtx4090,1024,BF16,30,1.7885865767796835e-05,120.06596023249284
rtx4090,4096,FP32,30,0.002593927510579427,52.98488601221517
rtx4090,4096,TF32,30,0.0017389940897623696,79.0335943526874
rtx4090,4096,FP16,30,0.000822545051574707,167.08987940403068
rtx4090,4096,BF16,30,0.000870365842183431,157.90940637929415
rtx4090,8192,FP32,30,0.02102087605794271,52.30569956957388
rtx4090,8192,TF32,30,0.012724667358398438,86.4078876726242
rtx4090,8192,FP16,30,0.006749900817871093,162.89300501496612
rtx4090,8192,BF16,30,0.006689210510253906,164.3709113490383
rtx4090,16384,FP32,30,0.175032763671875,50.25398009882073
rtx4090,16384,TF32,30,0.10116617838541667,86.94697341138249
rtx4090,16384,FP16,30,0.05570327962239584,157.90978703292504
rtx4090,16384,BF16,30,0.054780004882812504,160.5712347237818
