elapsed_s,gpu_uuid,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
0.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,240,405,43,21.90,0
5.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2250,10251,65,449.40,99
10.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2250,10251,67,447.83,99
15.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,69,449.59,99
20.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,70,449.94,99
25.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,71,447.94,100
30.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,72,448.58,99
35.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,73,447.93,99
40.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,73,449.63,99
45.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,74,448.42,99
50.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,74,449.59,99
55.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2235,10251,74,449.05,99
60.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.78,99
65.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,74,449.06,99
70.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.63,99
75.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.90,99
80.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,75,449.25,99
85.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,450.11,99
90.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.64,99
95.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,450.02,99
100.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.01,100
105.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.09,100
110.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.87,100
115.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.92,99
120.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.50,100
125.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.15,100
130.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.34,99
135.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.32,100
140.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.06,100
145.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.54,100
150.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.46,100
155.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.32,100
